"!SYSTEM-key :Dansk (Med prefix: @)","da:Dansk (Denmark:Danish da-DK)","en:English (United Kingdom:English en-GB)","de:Deutsch (Germany:German de-DE)","fr:Français (France:French fr-FR)","tr:Türkçe (Turkey:Turkish tr-TR)","pl:Polish (Poland pl-PL)","es:Español (Spain:Spanish es-ES)","it:italian"
"@+/- 0% OK","+/- 0% OK","+/- 0% OK","+/- 0% OK","+/- 0% OK","Tamam +/- 0%","+/- 0% OK","+/- 0% OK","+/- 0% OK"
"@- men ikke endnu!","- men ikke endnu!","- But not yet!","- Aber noch nicht!","- Mais pas encore!","- Ama henüz değil!","- Ale jeszcze nie teraz!","- Pero aún no!","- Ma non ancora!"
"@F.eks.","F.eks.","Eg.","Zum Beispiel.","Par exemple.","Örneğin.","Na przykład.","Por ejemplo.","Ad esempio."
"@Kontrolspor"" = Find grundlaget for regnskabstallene.","Kontrolspor"" = Find grundlaget for regnskabstallene.","Control Track ""= Find the basis for the accounting.","Control Track ""= Finden Sie die Grundlage für die Bilanzierung.","Control Track ""= Trouvez la base de la comptabilité.","Kontrol Track ""= muhasebe temelini bulun.","Kontrola dostępu ""= Znajdź podstawę dla rachunkowości.","Barra ""= Encontrar la base para la contabilidad.","Controllo Track ""= Trova la base per la contabilità."
"@$Variabel","$Variabel","$ Variable","$ Variable","$ variable","$ Değişken","$ zmienna","$ variable","$ variabile"
"@% Korrektion","% Korrektion","Correction%","Korrektur%","correction%","düzeltme%","korekta%","corrección%","correzione%"
"@%- rabat v. antal","%- rabat v. antal","% - Discount v. Number","% -. Discount v Anzahl","Nombre Discount v -%.","% -. İndirim v Numarası","% -. V Liczba Rabat","% -. Descuento v Número","Numero Sconto v -%."
"@%-Sats","%-Sats","%-Rate","% -Satz","taux%","% oranı","stopa%","tasa%","tasso%"
"@(F.eks, hvis et kontoudtog fra bank bogføres som ét bilag)","(F.eks, hvis et kontoudtog fra bank bogføres som ét bilag)","(For example, if a bank statement from the bank accounts as a single annex)","(Zum Beispiel, wenn ein Kontoauszug von der Bank-Konten als eine einzige Anlage)","(Par exemple, si un relevé bancaire de la banque représente comme une seule annexe)","(Örneğin, bankadan bir banka ekstresi, tek bir ek olarak hesapları ise)","(Na przykład, jeśli wyciąg bankowy z rachunków bankowych w jednym załączniku)","(Por ejemplo, si un estado de cuenta del banco representa como un único anexo)","(Per esempio, se un estratto conto bancario da parte della banca conti come un singolo allegato)"
"@(F.eks, hvis et kontoudtog fra bank bogføres som ét bilag).","(F.eks, hvis et kontoudtog fra bank bogføres som ét bilag).","(For example, if a bank statement from the bank accounts as a single annex).","(Zum Beispiel, wenn ein Kontoauszug von der Bank-Konten als einzige Anlage).","(Par exemple, si un relevé bancaire de la banque représente comme une seule annexe).","(Örneğin, bankadan bir banka ekstresi, tek bir ek olarak hesapları ise).","(Na przykład, jeśli wyciąg bankowy z rachunków bankowych w jednym załączniku).","(Por ejemplo, si un estado de cuenta del banco representa como un único anexo).","(Per esempio, se un estratto conto bancario da parte della banca conti come un singolo allegato)."
"@(Ikke implementeret endnu!)","(Ikke implementeret endnu!)","(Not implemented yet!)","(Noch nicht implementiert!)","(Pas encore mis en œuvre!)","(Henüz uygulanmadı!)","(Jeszcze nie zaimplementowane!)","(No implementado todavía!)","(Non ancora implementato!)"
"@(Ovenfor:Driftkonti - Herunder:Statuskonti)","(Ovenfor:Driftkonti - Herunder:Statuskonti)","(Above: Operating Accounts - Including: Balance sheets)","(Oben: Betriebsrechnung - Inklusive: Bilanzen)","(Ci-dessus: Comptes d'exploitation - incluant: bilans)","(Yukarıda: İşletim Hesaplar - İçeriği: Bilançolar)","(Powyżej: Rachunki operacyjne - w tym: Bilanse)","(Arriba: Cuentas de funcionamiento - Incluyendo: Balances)","(Sopra: Conti operativi - di cui: Bilanci)"
"@(eller anden server, som SALDI kører på). Hvis server porten ikke er 25, skrives port efter SMTP server-navnet adskilt med : F.eks. smtp.gmail.com:465","(eller anden server, som SALDI kører på). Hvis server porten ikke er 25, skrives port efter SMTP server-navnet adskilt med : F.eks. smtp.gmail.com:465","(Or other server that BALANCES running on). If the server port is not 25, signed port for SMTP server name separated by: eg. smtp.gmail.com:465","(Oder einem anderen Server, der auf Balances ausgeführt wird). Wenn der Server-Port nicht 25 ist, unterzeichnet Port für SMTP-Servername, getrennt durch: zB. smtp.gmail.com:465","(Ou un autre serveur qui SOLDES fonctionnant sur). Si le port du serveur ne sont pas 25, signé le port pour le nom du serveur SMTP séparés par: par exemple. smtp.gmail.com:465","(Üzerinde çalışan dengeleri veya diğer sunucu). Sunucu bağlantı noktası değil 25 ise, ayrılmış SMTP sunucusu adı için bağlantı noktası imzaladı: Örn. smtp.gmail.com:465","(Lub inny serwer, który działa na sald). Jeśli port serwera nie jest 25, podpisane portu dla nazwy serwera SMTP oddzielone: ​​np. smtp.gmail.com:465","(U otro servidor que se ejecuta en los saldos). Si el puerto del servidor no es 25, el puerto para el nombre del servidor SMTP separados por firmado: por ejemplo. smtp.gmail.com:465","(O un altro server che i saldi in esecuzione su). Se la porta del server non è 25, porta per il nome del server SMTP separato da firmato: ad es. smtp.gmail.com:465"
"@(planlagt)","(planlagt)","(Planned)","(Geplant)","(Prévues)","(Planlanan)","(Planowane)","(Planificado)","(Pianificato)"
"@(uden sum-beløb)","(uden sum-beløb)","(Without sum-amount)","(Ohne Summenbetrag)","(Sans somme montant)","(Toplam-miktarın olmadan)","(Bez sumy kwoty)","(Sin suma cantidad)","(Senza somma importo)"
"@- FTP-adgangskode hos ebConnect","- FTP-adgangskode hos ebConnect","- FTP password at ebConnect","- FTP-Passwort bei ebConnect","- Mot de passe FTP à ebConnect","- EbConnect FTP şifresi","- Hasło FTP w ebConnect","- Contraseña de FTP en ebConnect","- Password FTP a ebConnect"
"@- FTP-brugernavn hos ebConnect","- FTP-brugernavn hos ebConnect","- FTP username at ebConnect","- FTP-Benutzernamen an ebConnect","- Le nom d'utilisateur FTP à ebConnect","- EbConnect FTP kullanıcı adı","- Nazwa użytkownika FTP w ebConnect","- Nombre de usuario FTP en ebConnect","- Nome utente FTP a ebConnect"
"@- FTP-server hos ebConnect","- FTP-server hos ebConnect","- FTP server at ebConnect","- FTP-Server bei ebConnect","- Serveur FTP à ebConnect","- EbConnect FTP sunucusu","- Serwer FTP na ebConnect","- Servidor FTP a ebConnect","- Server FTP al ebConnect"
"@-","-","-","-","-","-","-","-","-"
"@--Alle--","--Alle--","--All--","--Alle--","--Alle--","--Alle--","--Alle--","--Alle--","--Alle--"
"@0. Alle","0. Alle","0. All","0. Alle","0. Tous","0. Tüm","0. Wszystkie","0. Todos","0. Tutto"
"@0. Forretning","0. Forretning","0. Business","0 Geschäfts","0. affaires","0. İş","0. firm","0. negocios","0. Affari"
"@1. Danske debitorer","1. Danske debitorer","1. Danish debtors","1. dänischen Schuldner","1. débiteurs danois","1. Danimarkalı borçlular","1. duńskie dłużnicy","1. deudores danesas","1. debitori danesi"
"@1. Lager 1","1. Lager 1","1. Storage 1","1. Lagerung 1","1. Stockage 1","1. Depolama 1","1. Przechowywanie 1","1. Almacenamiento 1","1. bagagli 1"
"@1. Ydelser","1. Ydelser","1. benefits","1. Vorteile","1. Les prestations","1. faydaları","1. świadczenia","1. Los beneficios","1. Le prestazioni"
"@1. faktura nummer","1. faktura nummer","1. The invoice number","1. Die Rechnungsnummer","1. Le numéro de facture","1. fatura numarası","1. numer faktury","1. El número de factura","1. Il numero della fattura"
"@1. indstillinger","1. indstillinger","1. settings","1. Einstellungen","1. paramètres","1. ayarları","1. ustawienia","1. ajustes","1. impostazioni"
"@1. modtagelses nummer","1. modtagelses nummer","1. reception number","1. Empfangsnummer","1. Numéro de réception","1. resepsiyon numarası","Numer 1. recepcji","Número 1. Recepción","il numero 1. reception"
"@14 dage","14 dage","14 days","14 Tage","14 jours","14 gün","14 dni","14 días","14 giorni"
"@2. Europæiske debitorer","2. Europæiske debitorer","2. European debtors","2. Europäische Schuldner","2. débiteurs européens","2. Avrupa borçlular","2. Europejskie dłużnicy","2. Los deudores europeos","2. debitori europei"
"@2. Handelsvarer","2. Handelsvarer","2. Commodities","2. Commodities","2. Commodities","2. Emtia","2. Towary","2. Los productos básicos","2. Commodities"
"@2. Lager 2","2. Lager 2","2. Storage 2","2. Lagerung 2","2. Stockage 2","2. Depolama 2","2. Przechowywanie 2","2. Almacenamiento 2","2. bagagli 2"
"@2. indstillinger","2. indstillinger","2. options","2. Optionen","2. Options","2. seçenek","2. Opcje","2. opciones","2. opzioni"
"@3. Forbrugsvarer","3. Forbrugsvarer","3. supplies","3. Lieferungen","3. fournitures","3. gereçleri","3. Dostawy","3. Los suministros","3. forniture"
"@3. indstillinger: Tilvalg","3. indstillinger: Tilvalg","3. Options: Options","3. Optionen: Optionen","3. Options: Options","3. Seçenekler: Seçenekler","3. Opcje: Opcje","3. Opciones: Opciones","3. Opzioni: Opzioni"
"@30 dage","30 dage","30 days","30 Tage","30 jours","30 gün","30 dni","30 días","30 giorni"
"@4. Fragt/Porto","4. Fragt/Porto","4. Freight / Shipping","4. Fracht / Versand","4. Fret / expédition","/ Nakliye 4. Yük","4. Transport drogowy / Dostawa","4. La carga / envío","4. Trasporto / Spedizione"
"@8 dage","8 dage","8 days","8 Tage","8 jours","8 gün","8 dni","8 días","8 giorni"
"@:",":",":",":",":",":",":",":",":"
"@'= saldi ='; ","'= saldi ='; ","'= Balances =';","'= Guthaben =';","'= Balances =';","'= Dengeleri =';","'= Rachunki =';","'= = Balances';","'= Saldi =';"
"@?...","?...","? ...","? ...","? ...","? ...","? ...","? ...","? ..."
"@@Gem","@Gem","@gem","@gem","@gem","@gem","@gem","@gem","@gem"
"@ADVARSEL: Alle nuværende beløb overskrives! Gem ikke, hvis det er en fejl.","ADVARSEL: Alle nuværende beløb overskrives! Gem ikke, hvis det er en fejl.","WARNING: All current amounts overwritten! Do not save if it's a mistake.","ACHTUNG: Alle aktuellen Beträge überschrieben! Sie nicht speichern, wenn es ein Fehler ist.","AVERTISSEMENT: Tous les montants actuels écrasés! Ne pas enregistrer si elle est une erreur.","UYARI: üzerine tüm güncel tutarlar! bu bir hata ise tasarruf etmeyin.","UWAGA: Wszystkie obecne kwoty nadpisane! Nie zapisuj, czy jest to błąd.","ADVERTENCIA: Todas las cantidades actuales sobrescritos! No guardar si se trata de un error.","ATTENZIONE: Tutti gli importi attuali sovrascritti! Non salvare se si tratta di un errore."
"@API Klient","API Klient","API Client","API-Client","client API","API İstemci","API Client","API del cliente","API client"
"@API Nøgle","API Nøgle","API Key","API-Schlüssel","Clé API","API Anahtarı","Klucz API","API Key","API Key"
"@API nøglen er en unik nøgle til verificering af din adgang til regnskabet.","API nøglen er en unik nøgle til verificering af din adgang til regnskabet.","API key is a unique key for verification of your access to the accounts.","API-Schlüssel ist ein eindeutiger Schlüssel für die Überprüfung der Ihren Zugang zu den Konten.","clé API est une clé unique pour la vérification de votre accès aux comptes.","API anahtarı hesaplarınıza erişim doğrulanması için eşsiz bir anahtardır.","klucz API jest unikalnym kluczem do weryfikacji swojej dostępu do rachunków.","clave de API es una clave única para la verificación de su acceso a las cuentas.","chiave API è una chiave unica per la verifica del vostro accesso ai conti."
"@Addr...","Addr...","Addr ...","Adr ...","Adr ...","Adr ...","Adr ...","Dir ...","Ind ..."
"@Adgang til","Adgang til","Access to","Zugang zu","l'accès à","erişim","dostęp do","el acceso a","accesso ai"
"@Adgangskode for databaseadministrator","Adgangskode for databaseadministrator","Password for database administrator","Kennwort für den Datenbankadministrator","Mot de passe pour l'administrateur de base de données","veritabanı yöneticisi için şifre","Hasło dla administratora bazy danych","Contraseña de administrador de la base","Password per l'amministratore del database"
"@Adgangskode for ovenstående bruger","Adgangskode for ovenstående bruger","Password for the above user","Passwort für den angegebenen Benutzer","Mot de passe pour l'utilisateur ci-dessus","Yukarıdaki kullanıcı için şifre","Hasło dla powyższej użytkownik","Contraseña del usuario anterior","Password per l'utente di cui sopra"
"@Adgangskode til SMTP serveren, hvis dette kræves.","Adgangskode til SMTP serveren, hvis dette kræves.","Password for the SMTP server, if required.","Kennwort für den SMTP-Server, falls erforderlich.","Mot de passe pour le serveur SMTP, si nécessaire.","SMTP sunucusu için şifre, gerekirse.","Hasło do serwera SMTP, jeśli jest to wymagane.","Contraseña para el servidor SMTP, si es necesario.","Password per il server SMTP, se necessario."
"@Adgangskode","Adgangskode","password","Kennwort","mot de passe","şifre","hasło","contraseña","password"
"@Adgangskode.","Adgangskode.","Password.","Passwort.","Mot de passe.","Şifre.","Hasło.","Contraseña.","Password."
"@Admin","Admin","Admin","Admin","Administrateur","yönetim","Admin","administración","Admin"
"@Administrator","Administrator","Administrator","Verwalter","administrateur","yönetici","administrator","administrador","amministratore"
"@Adresse 1","Adresse 1","address 1","Adresse 1","adresse 1","adres 1","adres 1","dirección 1","indirizzo 1"
"@Adresse 2","Adresse 2","address 2","Adresse 2","adresse 2","adres 2","adres 2","dirección 2","indirizzo 2"
"@Adresse Dato","Adresse Dato","address Date","Adresse Datum","date adresse","adres tarihi","adres Data","Fecha de direcciones","indirizzo Data"
"@Adresse label","Adresse label","address label","Adressetikett","étiquette d'adresse","adres etiketi","etykieta adresu","etiqueta de dirección","etichetta con l'indirizzo"
"@Adresse","Adresse","Address","Adresse","adresse","adres","adres","dirección","indirizzo"
"@Adresse.","Adresse.","Address.","Adresse.","Adresse.","Adresi.","Adres.","Dirección.","Indirizzo."
"@Adresse2","Adresse2","Address2","Address2","Address2","Adres2","Address2","address2","address2"
"@Advar ved for lav lagerbeholdning","Advar ved for lav lagerbeholdning","Warn on low inventories","Warnen auf niedrige Lagerbestände","Avertir le faible niveau des stocks","düşük stoklar üzerinde uyar","Informuj o niskich zapasów","Advertir sobre los inventarios bajos","Avverti il ​​basso livello delle scorte"
"@Advarsel: ","Advarsel: ","Warning:","Warnung:","avertissement:","uyarı:","ostrzeżenie:","advertencia:","warning:"
"@Af","Af","Of","von","de","arasında","z","de","di"
"@Afbryd","Afbryd","Disconnect","trennen","couper","kesmek","odłączyć","desconectar","Disconnect"
"@Afbryder! - fordi der ikke er oprettet forbindelse til databasen!","Afbryder! - fordi der ikke er oprettet forbindelse til databasen!","Switch! - Because there is a connection to the database!","Switch! - Da gibt es eine Verbindung zur Datenbank!","Commutateur! - Parce qu'il ya une connexion à la base de données!","Anahtarı! - Veritabanına bir bağlantı olmadığından!","Przełącznik! - Bo nie ma połączenia z bazą danych!","Cambiar! - Debido a que hay una conexión con la base de datos!","Interruttore! - Perché c'è una connessione al database!"
"@Afbryder! - fordi der ikke kan oprettes forbindelse til databasen!","Afbryder! - fordi der ikke kan oprettes forbindelse til databasen!","Switch! - Because you can not connect to the database!","Switch! - Weil Sie auf die Datenbank keine Verbindung herstellen können!","Commutateur! - Parce que vous ne pouvez pas vous connecter à la base de données!","Anahtarı! - Veritabanına bağlanmak olamaz çünkü!","Przełącznik! - Ponieważ nie można połączyć się z bazą danych!","Cambiar! - Porque no se puede conectar con la base de datos!","Interruttore! - Poiché non è possibile connettersi al database!"
"@Afbryder! - fordi oprettelse af link til databasen mislykkes!","Afbryder! - fordi oprettelse af link til databasen mislykkes!","Switch! - Because linking to the database fail!","Switch! - Da die Anbindung an die Datenbank fehlschlagen!","Commutateur! - Parce que des liens vers la base de données échouent!","Anahtarı! - Veritabanı başarısız bağlantı Çünkü!","Przełącznik! - Ponieważ łączenie się z bazą danych nie!","Cambiar! - Debido a la vinculación de la base de datos fallan!","Interruttore! - Perché il collegamento al database fallire!"
"@Afd","Afd","Dept.","Dept.","Dept.","Bölümü","Dept.","Dept.","Dept."
"@Afd.","Afd.","Div.","Div.","Div.","Div.","Div.","Div.","Div."
"@Afdeling","Afdeling","Department","Abteilung","département","bölüm","dział","departamento","reparto"
"@Afdeling.","Afdeling.","Department.","Kammer.","Chambre.","Odası.","Izba.","Cámara.","Camera."
"@Afdelinger","Afdelinger","departments","Abteilungen","départements","bölümler","działy","departamentos","reparti"
"@Afdelinger:","Afdelinger:","departments:","Abteilungen:","départements:","bölümler:","działy:","departamentos:","dipartimenti:"
"@Afhængigt af koden i D/K vil der være tale om en debitor-, Kreditor- eller Finanskonto","Afhængigt af koden i D/K vil der være tale om en debitor-, Kreditor- eller Finanskonto","Depending on the code in the D / K will be a customer, vendor or Financial Account","Je nach dem Code in der D / K wird ein Kunde, Lieferant oder Finanzkonto sein","Selon le code dans le D / K sera un client, fournisseur ou compte financier","D / K kod bağlı bir müşteri, satıcı veya Finans Hesabı olacak","W zależności od kodu w D / K będzie klient, sprzedawca lub rachunkiem finansowym","Dependiendo del código en el D / K será un cliente, proveedor o cuenta financiera","In base al codice della D / K sarà un cliente, fornitore o conto finanziario"
"@Afmærk de felter som skal eksporteres.","Afmærk de felter som skal eksporteres.","Mark the fields to be exported.","Markieren Sie die Felder exportiert werden.","Marquer les champs à exporter.","Mark alanlar ihraç edilecek.","Zaznacz pola mają być eksportowane.","Marcar los campos destinados a la exportación.","Segna i campi da esportare."
"@Afmærk dette felt for at tillade negativ lagerbeholdning.","Afmærk dette felt for at tillade negativ lagerbeholdning.","Check this box to allow negative inventory.","Markieren Sie dieses Feld negativ Inventar zu ermöglichen.","Cochez cette case pour permettre l'inventaire négatif.","Negatif envanter izin vermek için bu kutuyu işaretleyin.","Zaznacz to pole wyboru, aby umożliwić negatywny zapasów.","Marque esta casilla para permitir que el inventario negativo.","Seleziona questa casella per consentire l'inventario negativo."
"@Afmærk her for at benytte VVS-prislisten fra $beskrivelse'; ","Afmærk her for at benytte VVS-prislisten fra $beskrivelse'; ","Mark here to use plumbing pricelist from $ description ';","Mark hier Sanitär-Preisliste von $ description 'zu verwenden;","Mark ici pour utiliser la plomberie pricelist de $ description ';","Mark burada $ açıklaması 'dan sıhhi tesisat pricelist kullanmak için;","Zaznacz tutaj, aby korzystać z hydrauliką cennik z $ opisem ';","Marca aquí para utilizar el listado de precios de fontanería de $ descripción ';","Mark qui per utilizzare l'impianto idraulico listino da $ descrizione ';"
