"!SYSTEM-key :Dansk (Med prefix: @)","da:Dansk (Denmark:Danish da-DK)","en:English (United Kingdom:English en-GB)","de:Deutsch (Germany:German de-DE)","fr:Français (France:French fr-FR)","tr:Türkçe (Turkey:Turkish tr-TR)","es:Español (Spain:Spanish es-ES)","it:italian","gr:Greenland"
"@+/- 0% OK","+/- 0% OK","+/- 0% Ok.","+/- 0% OK","+/- 0% OK","Tamam +/- 0%","+/- 0% OK","+/- 0% OK",
"@F.eks.","F.eks.","E.g.","Zum Beispiel.","Par exemple.","Örneğin.","Por ejemplo.","Ad esempio.",
"@Kontrolspor = Find grundlaget for regnskabstallene.","Kontrolspor = Find grundlaget for regnskabstallene.","Control Track ""= Find the basis for the accounting.","Control Track ""= Finden Sie die Grundlage für die Bilanzierung.","Control Track ""= Trouvez la base de la comptabilité.","Kontrol Track ""= muhasebe temelini bulun.","Barra ""= Encontrar la base para la contabilidad.","Controllo Track ""= Trova la base per la contabilità.",
"@$Variabel","$Variabel","$ Variable","$ Variable","$ variable","$ Değişken","$ variable","$ variabile",
"@% Korrektion","% Korrektion","Correction%","Korrektur%","correction%","düzeltme%","corrección%","correzione%",
"@%- rabat v. antal","%- rabat v. antal","% - Discount v. Number","% -. Discount v Anzahl","Nombre Discount v -%.","% -. İndirim v Numarası","% -. Descuento v Número","Numero Sconto v -%.",
"@%-Sats","%-Sats","%-Rate","% -Satz","taux%","% oranı","tasa%","tasso%",
"@(Ikke implementeret endnu!)","(Ikke implementeret endnu!)","(Not implemented yet!)","(Noch nicht implementiert!)","(Pas encore mis en œuvre!)","(Henüz uygulanmadı!)","(No implementado todavía!)","(Non ancora implementato!)",
"@(Ovenfor:Driftkonti - Herunder:Statuskonti)","(Ovenfor:Driftkonti - Herunder:Statuskonti)","(Above: Operating Accounts - Including: Balance sheets)","(Oben: Betriebsrechnung - Inklusive: Bilanzen)","(Ci-dessus: Comptes d'exploitation - incluant: bilans)","(Yukarıda: İşletim Hesaplar - İçeriği: Bilançolar)","(Arriba: Cuentas de funcionamiento - Incluyendo: Balances)","(Sopra: Conti operativi - di cui: Bilanci)",
"@(planlagt)","(planlagt)","(Planned)","(Geplant)","(Prévues)","(Planlanan)","(Planificado)","(Pianificato)",
"@(uden sum-beløb)","(uden sum-beløb)","(Without sum-amount)","(Ohne Summenbetrag)","(Sans somme montant)","(Toplam-miktarın olmadan)","(Sin suma cantidad)","(Senza somma importo)",
"@----   ', '","----   ', '","----","----","----","----","----","----",
"@----   ', '","----   ', '","---- ","---- ","---- ","---- ","---- ","---- ",
"@1. Danske debitorer","1. Danske debitorer","1. Danish debtors","1. dänische Schuldner","1. débiteurs danois","ilk Danimarkalı borçlular","1 deudores danesas","prima debitori danesi",
"@1. faktura nummer","1. faktura nummer","1. The invoice number","1. Die Rechnungsnummer","1. Le numéro de facture","1. fatura numarası","1. El número de factura","1. Il numero della fattura",
"@1. modtagelses nummer","1. modtagelses nummer","1. reception number","1. Empfangsnummer","1. Numéro de réception","1. resepsiyon numarası","Número 1. Recepción","il numero 1. reception",
"@14 dage","14 dage","14 days","14 Tage","14 jours","14 gün","14 días","14 giorni",
"@2. Europæiske debitorer","2. Europæiske debitorer","2. European debtors","2. Europäische Schuldner","2. débiteurs européens","ikinci Avrupa borçlular","2 deudores europeos","secondo debitori europei",
"@30 dage","30 dage","30 days","30 Tage","30 jours","30 gün","30 días","30 giorni",
"@8 dage","8 dage","8 days","8 Tage","8 jours","8 gün","8 días","8 giorni",
"@:",":",":",":",":",":",":",":",
"@?...","?...","? ...","? ...","? ...","? ...","? ...","? ...",
"@ADVARSEL: Alle nuværende beløb overskrives! Gem ikke, hvis det er en fejl.","ADVARSEL: Alle nuværende beløb overskrives! Gem ikke, hvis det er en fejl.","WARNING: All current amounts overwritten! Do not save if it's a mistake.","ACHTUNG: Alle aktuellen Beträge überschrieben! Sie nicht speichern, wenn es ein Fehler ist.","AVERTISSEMENT: Tous les montants actuels écrasés! Ne pas enregistrer si elle est une erreur.","UYARI: üzerine tüm güncel tutarlar! bu bir hata ise tasarruf etmeyin.","ADVERTENCIA: Todas las cantidades actuales sobrescritos! No guardar si se trata de un error.","ATTENZIONE: Tutti gli importi attuali sovrascritti! Non salvare se si tratta di un errore.",
"@Addr...","Addr...","Addr ...","Adr ...","Adr ...","Adr ...","Dir ...","Ind ...",
"@Adgangskode for databaseadministrator","Adgangskode for databaseadministrator","Password for database administrator","Kennwort für den Datenbankadministrator","Mot de passe pour l'administrateur de base de données","veritabanı yöneticisi için şifre","Contraseña de administrador de la base","Password per l'amministratore del database",
"@Adgangskode for ovenstående bruger","Adgangskode for ovenstående bruger","Password for the above user","Passwort für den angegebenen Benutzer","Mot de passe pour l'utilisateur ci-dessus","Yukarıdaki kullanıcı için şifre","Contraseña del usuario anterior","Password per l'utente di cui sopra",
"@Adgangskode til SMTP serveren, hvis dette kræves.","Adgangskode til SMTP serveren, hvis dette kræves.","Password for the SMTP server, if required.","Kennwort für den SMTP-Server, falls erforderlich.","Mot de passe pour le serveur SMTP, si nécessaire.","SMTP sunucusu için şifre, gerekirse.","Contraseña para el servidor SMTP, si es necesario.","Password per il server SMTP, se necessario.",
"@Adgangskode","Adgangskode","password","Kennwort","mot de passe","şifre","contraseña","password",
"@Adresse","Adresse","Address","Adresse","adresse","adres","dirección","indirizzo",
"@Adresse.","Adresse.","Address.","Adresse.","Adresse.","Adresi.","Dirección.","Indirizzo.",
"@Adresse2","Adresse2","Address2","Address2","Address2","Adres2","address2","address2",
"@Advar ved for lav lagerbeholdning","Advar ved for lav lagerbeholdning","Warn on low inventories","Warnen auf niedrige Lagerbestände","Avertir le faible niveau des stocks","düşük stoklar üzerinde uyar","Advertir sobre los inventarios bajos","Avverti il basso livello delle scorte",
"@Advarsel: ","Advarsel: ","Warning: ","Warnung: ","avertissement: ","uyarı: ","advertencia: ","warning: ",
"@Af","Af","Of","von","de","arasında","de","di",
"@Afbryder! - fordi der ikke er oprettet forbindelse til databasen!","Afbryder! - fordi der ikke er oprettet forbindelse til databasen!","Switch! - Because there is a connection to the database!","Switch! - Da gibt es eine Verbindung zur Datenbank!","Commutateur! - Parce qu'il ya une connexion à la base de données!","Anahtarı! - Veritabanına bir bağlantı olmadığından!","Cambiar! - Debido a que hay una conexión con la base de datos!","Interruttore! - Perché c'è una connessione al database!",
"@Afbryder! - fordi der ikke kan oprettes forbindelse til databasen!","Afbryder! - fordi der ikke kan oprettes forbindelse til databasen!","Switch! - Because you can not connect to the database!","Switch! - Weil Sie auf die Datenbank keine Verbindung herstellen können!","Commutateur! - Parce que vous ne pouvez pas vous connecter à la base de données!","Anahtarı! - Veritabanına bağlanmak olamaz çünkü!","Cambiar! - Porque no se puede conectar con la base de datos!","Interruttore! - Poiché non è possibile connettersi al database!",
"@Afd","Afd","Dept.","Dept.","Dept.","Bölümü","Dept.","Dept.",
"@Afd.","Afd.","Div.","Div.","Div.","Div.","Div.","Div.",
"@Afdeling","Afdeling","Department","Abteilung","département","bölüm","departamento","reparto",
"@Afdeling.","Afdeling.","Department.","Abteilung.","Chambre.","Odası.","Cámara.","Camera.",
"@Afdelinger","Afdelinger","Divisions","Abteilungen","départements","bölümler","departamentos","reparti",
"@Afdelinger:","Afdelinger:","Departments:","Abteilungen:","départements:","bölümler:","departamentos:","dipartimenti:",
