Kode	Land	Møntenhed (på dansk)	Officielt engelsk navn	Note - Kilde: https://da.wikipedia.org/wiki/ISO_4217
AED	Forenede Arabiske Emirater	UAE Dirham	UAE Dirham	
AFN	Afghanistan	Afghani	Afghani	
ALL	Albanien	Lek	Lek	
AMD	Armenien	Armenske dram	Armenian Dram	
ANG	Nederlandske Antiller	Nederlandske Antiller-gylden	Netherlands Antillian Guilder	
AOA	Angola	Kwanza	Kwanza	
ARS	Argentina	Argentinske peso	Argentine Peso	
AUD	Australien	Australske dollar	Australian Dollar	
AWG	Aruba	Aruba-gylden	Aruban Guilder	
AZN	Aserbajdsjan	Aserbajdsjanske manat	Azerbaijanian Manat	
BAM	Bosnien-Hercegovina	Konvertible mark	Convertible Marks	
BBD	Barbados	Barbadisk dollar	Barbados Dollar	
BDT	Bangladesh	Taka	Taka	
BGN	Bulgarien	Bulgariske lev	Bulgarian Lev	
BHD	Bahrain	Bahrainske dinarer	Bahraini Dinar	
BIF	Burundi	Burundiske francs	Burundi Franc	
BMD	Bermuda	Bermudianske dollar	Bermudian Dollar	Ofte også omtalt som Bermuda Dollar
BND	Brunei	Bruneiske dollar	Brunei Dollar	
BOB	Bolivia	Boliviano	Boliviano	
BOV	Bolivia	Mvdol	Mvdol	Børskode
BRL	Brasilien	Brasilianske real	Brazilian Real	
BSD	Bahamas	Bahamanske dollar	Bahamian Dollar	
BTN	Bhutan	Ngultrum	Ngultrum	
BWP	Botswana	Pula	Pula	
BYR	Hviderusland	Hviderussiske rubler	Belarussian Ruble	
BZD	Belize	Beliziske dollar	Belize Dollar	
CAD	Canada	Canadiske dollar	Canadian Dollar	
CDF	Demokratiske Republik Congo	Congolesiske francs	Franc Congolais	
CHF	Schweiz	Schweizerfranc	Swiss Franc	
CLF	Chile	Unidades de formento	Unidades de formento	Børskode
CLP	Chile	Chilenske peso	Chilean Peso	
CNY	Kina	Yuan renminbi	Yuan Renminbi	
COP	Colombia	Colombianske peso	Colombian Peso	
COU	Colombia	Unidad de Valor Real	Unidad de Valor Real	Børskode
CRC	Costa Rica	Costaricanske colón	Costa Rican Colon	
CUC	Cuba	Cubanske konvertible peso	Cuban Convertible Peso	Erstatter USD som sekundær møntenhed
CUP	Cuba	Cubanske peso	Cuban Peso	
CVE	Kap Verde	Kapverdiske escudo	Cape Verde Escudo	
CZK	Tjekkiet	Tjekkiske koruna	Czech Koruna	
DJF	Djibouti	Djiboutiske francs	Djibouti Franc	
DKK	Danmark	Danske kroner	Danish Krone	
DOP	Dominikanske Republik	Dominikanske peso	Dominican Peso	
DZD	Algeriet	Algeriske dinarer	Algerian Dinar	
EGP	Egypten	Egyptiske pund	Egyptian Pound	
ERN	Eritrea	Nakfa	Nakfa	
ETB	Etiopien	Etiopiske birr	Ethiopian Birr	
EUR	EU lande	Euro	Møntenhed i de lande i EU, der har tiltrådt den Økonomiske og Monetære Union.
FJD	Fiji	Fijianske dollar	Fiji Dollar	
FKP	Falklandsøerne	Falklandsøerne-pund	Falkland Islands Pound	
GBP	Det Forenede Kongerige	Pund Sterling	Pound Sterling	
GEL	Georgien	Lari	Lari	
GHS	Ghana	Cedi	Cedi	
GIP	Gibraltar	Gibraltar-pund	Gibraltar Pound	
GMD	Gambia	Dalasi	Dalasi	
GNF	Guinea	Guineanske francs	Guinea Franc	
GTQ	Guatemala	Quetzal	Quetzal	
GYD	Guyana	Guyanske dollar	Guyana Dollar	
HKD	Hong Kong	Hong Kong-dollar	Hong Kong Dollar	
HNL	Honduras	Lempira	Lempira	
HRK	Kroatien	Kroatiske kuna	Croatian Kuna	
HTG	Haiti	Gourde	Gourde	
HUF	Ungarn	Forint	Forint	
IDR	Indonesien	Rupiah	Rupiah	
ILS	Israel	Ny Shekel	New Israeli Sheqel	
INR	Indien	Indiske rupee	Indian Rupee	
IQD	Irak	Irakiske dinarer	Iraqi Dinar	
IRR	Iran	Iranske rial	Iranian Rial	
ISK	Island	Islandske króna	Iceland Krona	
JMD	Jamaica	Jamaicanske dollar	Jamaican Dollar	
JOD	Jordan	Jordanske dinar	Jordanian Dinar	
JPY	Japan	Yen	Yen	
KES	Kenya	Kenyanske shilling	Kenyan Shilling	
KGS	Kirgisistan	Som	Som	
KHR	Cambodia	Riel	Riel	
KMF	Comorerne	Comoriske francs	Comoro Franc	
KPW	Nordkorea	Nordkoreanske won	North Korean Won	
KRW	Sydkorea	Won	Won	
KWD	Kuwait	Kuwaitiske dinarer	Kuwaiti Dinar	
KYD	Cayman-øerne	Cayman-øerne-dollar	Cayman Islands Dollar	
KZT	Kasakhstan	Tenge	Tenge	
LAK	Laos	Kip	Kip	
LBP	Libanon	Libanesiske pund	Lebanese Pound	
LKR	Sri Lanka	Srilankanske rupee	Sri Lankan Rupee	
LRD	Liberia	Liberiansk dollar	Liberian Dollar	
LSL	Lesotho	Loti	Loti	
LYD	Libyen	Libyske dinarer	Libyan Dinar	
MAD	Marokko	Marokkanske dirham	Moroccan Dirham	
MDL	Moldova	Moldoviske leu	Moldovan Leu	
MGA	Madagaskar	Madagaskiske ariary	Malagasy Ariary	
MKD	Makedonien	Denar	Denar	
MMK	Myanmar	Kyat	Kyat	
MNT	Mongoliet	Tugrik	Tugrik	
MOP	Macau	Pataca	Pataca	
MRO	Mauretanien	Ouguiya	Ouguiya	
MUR	Mauritius	Mauritiske rupee	Mauritius Rupee	
MVR	Maldiverne	Rufiyaa	Rufiyaa	
MWK	Malawi	Kwacha	Kwacha	
MXN	Mexico	Mexicanske peso	Mexican Peso	
MXV	Mexico	Mexican Unidad de Inversion (UID)	Mexican Unidad de Inversion (UID)	Børskode
MYR	Malaysia	Malaysiske ringgit	Malaysian Ringgit	
MZN	Mozambique	Merical	Merical	
NAD	Namibia	Namibiske dollar	Namibian Dollar	
NGN	Nigeria	Naira	Naira	
NIO	Nicaragua	Cordoba Oro	Cordoba Oro	
NOK	Norge	Norske kroner	Norwegian Krone	
NPR	Nepal	Nepalesiske rupee	Nepalese Rupee	
NZD	New Zealand	New Zealand-dollar	New Zealand Dollar	
OMR	Oman	Omanske rial	Rial Omani	
PAB	Panama	Balboa (møntenhed)	Balboa	
PEN	Peru	Ny sol	Nuevo Sol	
PGK	Papua New Guinea	Kina	Kina	
PHP	Filippinerne	Filippinske peso	Philippine Peso	
PKR	Pakistan	Pakistanske rupee	Pakistan Rupee	
PLN	Polen	Zloty	Zloty	
PYG	Paraguay	Guarani	Guarani	
QAR	Qatar	Qatar rial	Qatari Rial	
RON	Rumænien	Leu	New Leu	
RSD	Serbien	Serbiske dinarer	Serbian dinar	
RUB	Rusland	Russiske rubler	Russian Ruble	
RWF	Rwanda	Rwandiske francs	Rwanda Franc	
SAR	Saudi-Arabien	Saudiarabiske riyal	Saudi Riyal	
SBD	Salomonøerne	Salomonøerne-dollar	Solomon Islands Dollar	
SCR	Seychellerne	Seychellisk rupee	Seychelles Rupee	
SDG	Sudan	Sudaniske dinarer	Sudanese Dinar	
SEK	Sverige	Svenske kronar	Swedish Krona	
SGD	Singapore	Singaporeanske dollar	Singapore Dollar	
SHP	Sankt Helena	Sankt Helena-pund	Saint Helena Pound	
SLL	Sierra Leone	Leone	Leone	
SOS	Somalia	Somaliske shilling	Somali Shilling	
