:Konto	:Kontonavn	:Type	:Valuta	:?-fra	:Primo	:jan	:feb	:mar	:apr	:maj	:jun	:jul	:aug	:sep	:okt	:nov	:dec	:?-tilNu
10	RESULTATOPGØRELSE	H		0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
100	OMSÆTNING:	H		0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
1000	Udført arbejde	D	DKK	0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
1100	Varesalg DK	D	DKK	0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
1200	Salg af ydelser indenfor EU	D	DKK	0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
1220	Salg af varer indenfor EU	D	DKK	0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
1250	Salg af ydelser udenfor EU	D	DKK	0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
1270	Salg af varer udenfor EU	D	DKK	0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
1290	Salg af varer og ydelser udenfor EU	Z		1250	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
1300	Fragt ydet	D	DKK	0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
1800	Igangværende arbejder	D	DKK	0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
1900	Tab på debitorer	D	DKK	0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
1950	OMSÆTNING I ALT	Z		100	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
2000	VARIABLE OMKOSTNINGER:	H		0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
2010	VAREFORBRUG:	H		0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
2050	Ydelseskøb i DK	D	DKK	0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
2100	Varekøb i DK	D	DKK	0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
2300	Fragt modtaget	D	DKK	0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
2400	Leje driftsmidler	D	DKK	0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
2500	Forbrug egne varer	D	DKK	0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
2600	Lagerregulering	D	DKK	0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
2700	Køb af ydelser i EU	D	DKK	0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
2720	Køb af ydelser udenfor EU	D	DKK	0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
2800	Køb af varer i EU	D	DKK	0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
2820	Varekøb udenfor EU	D	DKK	0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
2850	VAREFORBRUG I ALT	Z		2010	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
2900	FREMMED ARBEJDE	H		0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
2910	Fremmed arbejde	D	DKK	0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
3000	VAREFORBRUG OG FREMMED ARBEJDE	Z		2010	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
3500	DÆKNINGSBIDRAG I	Z		1	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
4100	LØNNINGER:	H		0	Primo	0	0	0	0	0	0	0	0	0	0	0	0	Ultimo
